incident_id,title,severity,status,service,team,created_at,resolved_at,time_to_resolve_minutes,root_cause,description
INC-1001,SMS delivery failures for order confirmations,P3-Medium,resolved,notification-service,Platform,2026-03-03 17:38:00,2026-03-03 21:46:00,240,third_party_api_degradation,SMS delivery failures for order confirmations
INC-1002,Intermittent order submission failures during peak hours,P3-Medium,resolved,order-service,Commerce,2026-03-05 07:46:00,2026-03-05 10:00:00,120,database_connection_pool_exhaustion,Intermittent order submission failures during peak hours
INC-1003,LDAP sync warnings in auth-service logs,P4-Low,resolved,auth-service,Identity,2026-03-06 09:59:00,2026-03-06 18:11:00,480,certificate_expiry,LDAP sync warnings in auth-service logs
INC-1004,Order service returning 500 errors after v2.4.1 deployment,P1-Critical,resolved,order-service,Commerce,2026-03-08 08:35:00,2026-03-08 10:14:00,90,bad_deployment,Order service returning 500 errors after v2.4.1 deployment
INC-1005,"Residual order failures after rollback, cache not cleared",P2-High,resolved,order-service,Commerce,2026-03-09 17:36:00,2026-03-09 20:42:00,180,bad_deployment,"Residual order failures after rollback, cache not cleared"
INC-1006,Search service response times gradually increasing,P4-Low,open,search-service,Discovery,2026-03-11 08:02:00,,,memory_leak,Search service response times gradually increasing
INC-1007,Duplicate charges reported by 3 customers,P3-Medium,resolved,payment-service,Commerce,2026-03-13 13:49:00,2026-03-13 19:58:00,360,race_condition,Duplicate charges reported by 3 customers
INC-1008,"Search service OOM crash, full cluster restart required",P1-Critical,resolved,search-service,Discovery,2026-03-15 08:54:00,2026-03-15 11:01:00,120,memory_leak,"Search service OOM crash, full cluster restart required"
INC-1009,Uneven traffic distribution causing hot spots on gateway-2,P2-High,resolved,api-gateway,Platform,2026-03-16 09:24:00,2026-03-16 14:32:00,300,load_balancer_misconfiguration,Uneven traffic distribution causing hot spots on gateway-2
INC-1010,Stale inventory counts showing sold-out items as available,P3-Medium,resolved,inventory-service,Commerce,2026-03-18 20:40:00,2026-03-19 01:06:00,240,cache_invalidation_bug,Stale inventory counts showing sold-out items as available
INC-1011,Complete order service outage: all DB connections exhausted,P1-Critical,resolved,order-service,Commerce,2026-03-20 17:10:00,2026-03-20 18:21:00,60,database_connection_pool_exhaustion,Complete order service outage: all DB connections exhausted
INC-1012,"Email queue backlog: 50K messages pending, disk at 98%",P2-High,resolved,notification-service,Platform,2026-03-22 17:13:00,2026-03-22 20:34:00,180,disk_full,"Email queue backlog: 50K messages pending, disk at 98%"
INC-1013,Payment gateway routing to wrong environment after config change,P3-Medium,resolved,payment-service,Commerce,2026-03-24 14:44:00,2026-03-24 17:13:00,120,config_drift,Payment gateway routing to wrong environment after config change
INC-1014,Intermittent login failures: OAuth provider DNS timeouts,P2-High,resolved,auth-service,Identity,2026-03-26 08:38:00,2026-03-26 12:58:00,240,dns_resolution_failure,Intermittent login failures: OAuth provider DNS timeouts
INC-1015,Increased 504 errors during inventory service maintenance,P3-Medium,resolved,api-gateway,Platform,2026-03-28 11:34:00,2026-03-28 13:27:00,90,upstream_timeout,Increased 504 errors during inventory service maintenance
